	상담사답변
7498	인터넷이나 영업점에서 신청하시면 됩니다.
7502	아니요, 신용평가 및 심사란에 연소득금액, 재직회사 및 기간 등 심사 필요정보 입력합니다.
7504	행정기관 정보조회(스크래핑)를 통한 서류 제출하게 됩니다.
7506	행정기관 정보조회(스크래핑)를 통해 서류제출이 불가한 경우 영업점 방문해 주셔야 합니다.
7511	일반적 대출금리 소개는 인터넷뱅킹의 대출상품별 안내페이지에서 확인할 수 있습니다.
7513	네, 최저금리부터 최고금리까지만 명시하고 있습니다.
7515	고객님에게 적용되는 금리는 서류 심사 이후 정확하게 안내해 드릴 수 있습니다.
7518	네, 인터넷 뱅킹내에 대출가이드 메뉴에 가시면 가계대출금리 변동을 확인하실수 있습니다.
7520	아닙니다. 변동금리 뿐 아니라 고정금리도 확인하실 수 있습니다. 
7522	금리가 내려가는 추세이면 변동금리를 선택하는 것이 유리합니다. 
7524	중도상환수수료가 발생할 수 있습니다.
7526	보통, 도상환원금 x 수수료율 x (잔존일수 ÷ 대출기간)로 계산하는데 대출기간이 3년을 초과하는 시점부터는 발생하지 않습니다.
7528	네 그렇습니다.
7532	이자를 연체하신 경우 지연배상금액이 부과됩니다.
7534	약정이자율에 연체가산이자율을 더해서 지연배상금률을 정하고 이것이 연체이자율로 가산됩니다.
7537	네, 연체한 이자는 약정이자율보다 높은 연체가산이자율이 적용됩니다.
7539	1개월 연체된 100만원은 지연배상금이 3,333원이라서 1,003,333원이지만 2개월 연체된 100만원은 1개월 이상 지체시 기한의 이익이 상실되어 160만원이 됩니다. 따라서 총 260만 3333원을 내셔야 합니다.
7542	지연배상금액 산정방법이 달라집니다.
7544	네 그렇습니다.
7546	지연배상금액이 계속 커질 뿐만 아니라, 신용등급이 크게 하락할 수 있습니다.
7549	현재 기준으로 연체가산이자율은 3%입니다.
7551	네, 신용대출을 이용하시면 됩니다.
7553	현 직장에서 12개월 이상 재직중인 직장인 및 은행 주거래 고객을 위한 맞춤 상품입니다.
7555	무보증 최고 한도는 1억 5천만원이고, 대출한도는 신용평가에 따라 차등 적용됩니다.
7557	별도의 우대금리 충족조건 없으며, 중도상환수수료도 면제됩니다.
7559	고객님의 필요에 따라, 일반대출 및 마이너스통장 대출 모두 가능합니다.
7562	아닙니다. 본 상품은 온라인 전용 상품으로 인터넷뱅킹 및 스마트폰뱅킹에서 24시간 365일 언제든지 간편하게 신청하실 수 있습니다.
7564	당행 주거래 고객이시면서 개인신용평가시스템에 의해 대출한도가 산정되는 고객이면 12개월 이상 현 직장에서 근무하시지 않은 경우에도 승인됩니다.
7566	마이너스 대출형태이면 만기에 일시상환하시면 됩니다.
7568	기본 1년 단위로 연장되며 최장 10년까지 연장됩니다.
7571	네 자동차구입 대출 상담해 드리겠습니다.
7575	신차를 구입하는 고객으로 소득 증빙이 가능한 만 19세 이상의 고객을 대상으로 하고 있습니다. 대출대상은 근로소득자(6개월 이상), 사업소득자(12개월 이상), 연금소득자입니다.
7578	자동차판매가격 중 차량가격이내로 서울보증보험 보증한도 이내로 최저 3백만원부터 최고 6천만원까지 대출 가능합니다.
7580	안내해 드리는 자동차론은 캐피탈 대비 유리한 금리조건으로 신규자동차를 구매하려는 고객을 위한 비대면 전용 대출상품입니다. 별도의 취급수수료, 보험료, 근저달성정 부담이 없는 상풉입니다. 
7582	네, 인터넷뱅킹이나 스마트폰뱅킹으로 신청하시면 됩니다.
7584	최소 1년부터 최대 10년까지 원리금균등분할 상환조건입니다.
7586	네, 가능합니다. 단 최초 자동차등록일로부터 15년 이내인 차량으로 대출실행 후 소유권 이전 필수이며, 자동차매매업자가 알선하지 않은 개인간 매매거래 제외됩니다.
7588	네, 그렇습니다. 온라인전용 상품이 더 조건이 좋습니다.
7592	네, 주택도시기금 대출상품을 안내해 드리겠습니다.
7599	그런 경우에는 부부합산 연소득 7천만원까지 가능합니다.
7602	대출기간은 10년부터 30년까지 가능하시고, 거치를 원하시면 1년 거치후 원리금균등분할상환 또는 체증식분할상환 중에 선택하실 수 있습니다.
7604	담보평가 및 소득금액에 따른 대출가능금액 이내에서 호당 최고 2억원 이내이며, 단, 신혼가구는 2억 2천만원, 2자녀(미성년자) 이상인 가구는 2억 6천만, 만 30세 이상 미혼인 단독세대주는 최고 1억 5천만원 이내입니다.
7606	기본 금리는 연 1.85%~2.4%이며, 국토교통부 고시에 따른 고정금리 또는 5년단위 변동금리 중 선택가능합니다. 체증식 분할상환을 선택하는 경우에는 고정금리만 적용가능합니다.
7608	연소득 6천만원 이하 한부모가구는 연 0.5%p, 생애최초주택구입자 장애인 다문화 신혼가구는 각 연 0.2%p, 다자녀가구(미성년 자녀* 3인 이상)은 연 0.7%p, 2자녀가구(미성년 자녀* 2인)은 연 0.5%p, 1자녀가구(미성년 자녀* 1인)은 연 0.3%p의 우대금리를 받으실 수 있습니다. 
7611	네, 대출계산기를 통해 계산해 보실 수 있습니다.
7614	대출원금과 이자를 대출기간 동안 매달 같은 금액으로 나누어 갚아나가는 방식입니다.
7616	네, 다릅니다. 원금균등상환이란 대출원금을 대출기간으로 나눈 할부 상환금에 월별 이자를 합하여 갚는 방식입니다.
7618	그러면 원리금 균등상환을 선택하시면 됩니다.
7620	원금만기일시상환을 하시면 이자만 내시면 됩니다.
7622	네, 대출기간동안은 이자만 내시고, 만기에 대출금을 모두 갚는 방식입니다.
7624	상품마다 다른데 보통은 원리금균등상환 또는 원금균등상환방식으로 설정됩니다.
7627	네 그렇습니다.
7629	정확한 이자율 안내는 힘들고 대출상품별 이자를 참고하셔서 계산해 보시는 도움 받으실 수 있고, 정확인 이자는 심사이후에 안내받으실 수 있습니다.
7640	본 상품은 최대한도 200만원입니다.
7642	승인되면, 즉시 지정하신 계좌로 입금됩니다.
7644	거절되는 경우에는 문자를 받으시게 될 것입니다.
7647	그런 경우에는 고객센터로 직접 전화 문의하셔야 합니다.
7649	도움이 되셨길 바랍니다. 감사합니다.
7654	네, 그러면 전세자금대출 가능하십니다.
7658	버팀목 대출 상품을 추천드립니다. 전세보증금의 70%까지 대출받으실 수 있습니다.
7660	임차전용 면적85㎡이하 주택 또는주거용 오피스텔 임차시 신청가능합니다.
7663	신혼부부의 경우 부부합산 총소득이 6천만원 이하이시면 임차보증금의 80% 이내에서 최고 2억원까지 지원해 드립니다.
7665	부부합산 총소득이란 차주 및 배우자(결혼예정자 포함)의 근로소득(상여금 및 수당포함) 및 사업소득을 말합니다.
7667	계약서를 작성시 전세대출이 꼭 필요한 경우 임대차계약서 특약조건을 넣으셔야 합니다. 즉, 전세자금 대출 실행이 불가 한 경우에는 해당 계약을 취소하고 계약금을 반환하기로함 이라는 단서조항을 반드시 기재하시는 것이 좋습니다.
7669	영업점에 오셔서 대출상담직원과 직접 상담해 보시는 것이 가장 정확합니다.
7671	네, 인터넷뱅킹에서 대출상환 하실 수 있습니다.
7673	인터넷 뱅킹에 접속하신후, 대출메뉴로 들어가시면 됩니다.
7675	대출메뉴 아래 원금상환 메뉴를 클릭해 주시면 됩니다.
7678	네, 당행의 입출금계좌에서 상환금액이 빠져나갑니다.
7680	그런 경우에는 우선 타행계좌에서 당행의 입출금계좌로 이체하신후, 원금상환 메뉴를 통해 상환하셔야 합니다.
7687	대출하신지 3년이 지나셨으면 중도상환수수료는 따로 부과되지 않습니다.
7689	네, 원금 일부 상환도 가능하십니다.
7691	네, 전세자금 대출상품을 이용하시면 됩니다.
7693	상품마다 조금씩 틀리고 고객님의 신용도에 따라서도 달라집니다.
7695	그러면 전세자금대출 상품 안내페이지를 보내드릴께요. 상품설명을 참고하시기 바랍니다.
7698	최장 10년까지 가능까지 가능합니다.
7700	네, 집주인의 동의가 필수입니다.
7702	집주인에게 직접 말씀드리면, 은행에서 집주인에게 해당 부동산에 질권을 설정하기 위해 전화를 드립니다.
7705	그러면 전세자금대출은 불가능하고, 신용대출 등 다른 대출을 받으셔야 합니다.
7715	그런 경우에는 소득 증빙 자료를 제출하셔야 합니다.
7717	직전년도 급여나 사업소득자료 또는 건강보험료 납부내역 등입니다.
7719	한도는 1년에 1억원입니다.
7721	아파트 구입시에는 지역에 따라 50~70%까지 대출이 되지만, 소유중인 아파트를 담보로 대출하실 때에는 생활비 담보대출 명목으로 1년에 최대 1억원까지만 가능합니다.
7723	정부에서 그렇게 정하였기 때문입니다.
7726	네, 소득증빙자료와 아파트 등기부등본을 가지고 대출상담계로 방문해 주시면 됩니다.
7734	영업점을 방문해 주시거나 인터넷뱅킹에서 신청하실 수도 있습니다. 
7736	필요한 서류는 신분증, 재직증명서,소득금액증명원 입니다
7741	그런 경우에는 소득금액증명원과 고객님의 신용도에 따라 마이너스 통장 개설여부가 결정됩니다.
7743	고객님의 동의하에 신용도를 조회해 보고 결정해야 하므로, 재직증명서가 없는 경우에는 영업점에 직접 방문하셔서 상담하시는 것을 추천드립니다.
7745	고객님의 신용도에 따라 다릅니다. 보통 최저 2%에서 최대 4% 사이입니다.
7748	가까운 영업점 어디에서든지 상담받으실 수 있습니다.
7751	네, 담보대출 가능합니다.
7753	예금액의 80%까지 대출해 드립니다.
7756	변동금리로 대출되는데 현재 기준으로는 3.2%입니다. 
7758	예금담보대출이므로, 인터넷뱅킹에서 신청하시면 바로 대출금이 입금됩니다.
7768	원하는 대출금액을 기입하시고, 접수 버튼을 눌러주시면 됩니다.
7771	네, 중소기업직장인 전세대출상품을 안내해 드리겠습니다.
7776	그런 경우에 딱 맞는 상품이 있습니다. 중소기업 직장인들을 위한 전세대출로 금리가 보통 상품의 절반정도입니다.
7778	금리는 연 1.25%입니다.
7782	그러면 9000만원까지 연 1.25%로 대출됩니다.
7784	중소기업 직장인들을 위한 국가지원 상품이라서 3년까지 가능하고, 3년 이후에는 다른 상품으로 전환하셔야 합니다.
7787	버팀목 전세자금대출 상품 등으로 전환하면 됩니다.
7789	현재 기준으로 2% 초반입니다.
7795	고객님, 직장인 대출은 최소 3개월 이상 근무하셔야 신청 가능하십니다.
7797	재직증명서, 소득증명원, 신분증을 가지고 영업점에 가셔서 신청하시면 됩니다.
7800	대출한도는 심사를 한 후 알려드릴 수가 있습니다.
7802	네, 심사를 해 봐야 정확히 알 수 있는 부분이라서 답변을 해 드리기 힘듭니다.
7807	네, 그러면 대출한도가 그만큼 줄어들 수 있습니다.
7813	한국장학재단을 통해 학자금 대출을 받으실 수 있습니다.
7815	현재 기준으로 2.2%이고 변동금리입니다.
7817	이자는 취업전까지 유예가능합니다. 즉 취업한 후부터 갚으시면 됩니다.
7819	취업 이후 일정 소득이 넘으면 의무적 상환을 하게 되시고 그 이전까지는 자발적 상환을 하실 수 있습니다.
7821	최대 20년입니다. 거치기간이 최대 10년이고 상환기간이 최대 10년입니다.
7823	거치기간이란 이자만 납입하는 기간을 의미합니다. 즉 최대 10년까지는 대출금 이자만 납입하시면 된다는 뜻입니다.
7825	사전 동의를 받으실 필요는 없지만, 등록금 대출한 사실이 부모님에게 안내됩니다.
7828	네, 가능합니다.
7831	적금을 담보로 대출하시면 됩니다.
7834	적금 잔액의 90%까지 대출이 됩니다.
7836	이자는 현재 기준 2.5%입니다.
7838	인터넷뱅킹이나 스마트폰뱅킹으로 신청하시면 유리합니다. 이자도 0.1% 할인됩니다.
7842	대출신청에 가셔서 검색창에 적금담보대출을 치시면 해당페이지로 이동됩니다.
7844	화면에 안내된 대로 신청하시면 됩니다.
7846	네, 거기에 안내된 최대 한도이하의 금액을 쓰시면 됩니다.
7851	가능하실 수 있습니다.
7853	고객님의 신용도가 대출시점보다 올라가셨거나, 급여가 오르셔서 상환능력이 좋아진 경우에 경우가능합니다.
7856	고객님 정보를 검토해 보아야 가능합니다.
7859	네 그렇습니다.
7860	대출 시작후 1년이 경과된 시점부터 가능합니다.
7866	네, 고객님은 금리인하 대상이 됩니다.
7869	신분증을 가지고 영업점을 방문해 주시면 됩니다.
7871	네, 신용카드 장기대출 가능합니다.
7874	네, 고객님. 보내드리는 문자에 나온 개인 인증 안내에 따라 해 주시기 바랍니다.
7877	고객님은 현재 2000만원까지 신용카드 장기론을 받으실 수 있습니다.
7879	저희 회사 로얄회원이셔서, 신용카드 장기론 연 3.2%로 대출받으실 수 있습니다.
7883	네, 고객님. 카드사 홈페이나 스마트폰 어플에서 신청하실 수 있습니다.
7888	네, 지금 문자로 보내드리겠습니다.
7893	네, 전년도 신용카드사용액을 기준으로 추정소득금액을 산정하여 대출을 진행하기도 합니다.
7896	신용카드 사용액이 2000만원이시면 추정소득 4000만원입니다.
7898	연소득 4000만원 기준 대출한도는 대출기간에 따라 달라집니다.
7901	대출기간은 최대 20년으로 설정하시면 대출한도는 1억원까지 가능합니다.
7905	아파트를 구입하신 후의 담보대출은 생활비 명목 대출이 적용되어 1년에 최대 1억원씩 가능합니다.
7907	네, 그렇습니다.
7911	네, 만 20세 이상이시면 가능합니다.
7913	소득과 신용도에 따라 다릅니다.
7922	네, 연봉기준 신용대출가능 금액은 1500만원입니다.
7925	그러시면 은행을 방문하여 상세한 상담을 받아보시는 것이 가장 좋습니다.
7928	은행 홈페이지에 상품별 설명이 있습니다. 문자로 홈페이지 메뉴를 보내드리겠습니다.
7931	네, 가능합니다.
7933	즉시 받는 마이너스 계좌 개설도 가능합니다.
7936	최대 300만원까지 받는 마이너스 계좌는 바로 앱에서 신청하실 수 있습니다.
7944	5분 이내로 승인됩니다. 신용도에 문제가 없으면 바로 개설될 것입니다.
7947	그런 경우에는 다른 마이너스 통장 개설 상품을 선택하시고 직장재직증명서와 소득증빙등  증빙서류를 제출하시고 심사받으셔야 합니다.
7948	필요한 절차를 문자로 보내드리겠습니다.
7957	네 고객님, 사업자금 대출 받으실 수 있습니다. 자세한 대출한도 및 조건은 직전년도에 신고하신 사업소득 금액과 고객님의 신용등급에 따라 달라집니다.
7961	검토만 받는 것으로는 신용등급에 영향이 가지 않습니다.
7963	네, 고객님. 나이스신용평가 등 개인 신용등급을 알아볼 수 있는 여러가지 경로가 있습니다.
7965	사업자금 대출의 경우 신용등급 3등급 이상이어야 가능합니다.
7967	신용등급을 올릴 수 있는 방법을 알아보신후 신청 하시면 됩니다.
7972	네, 몇가지 물어보고 안내해 드리겠습니다.
7975	버팀목 대출은 만 19세 이상인 무주택자 세대주를 지원합니다. 
7978	전세보증금의 70%까지 대출해 드립니다.
7980	저금리인 연 2.3~2.9%가 적용됩니다.
7982	고객님은 만 35세 미만이시므로 연소득 2천만원 이하이시고 전용면적60㎡ 이하 & 보증금 5천만원 이하 주택임차시 0.5%p 우대금리가 적용됩니다.
7984	2년 이내 일시상환이 기본 조건이며, 4회 연장 가능하고 최대 10년까지 가능합니다. 
7986	아닙니다. 2년 만료시 직접 연장신청을 하셔야 합니다.
7990	네 고객님, 몇가지 확인후 상담해 드리겠습니다.
7995	신혼부부이시고 무주택자시면, 수도권 2억, 지방 1억 6천만원까지 대출이 가능합니다.
7997	전세보증금의 최대 80%까지 대출가능합니다.
7999	연 2.3~2.9%입니다. 정확한 것은 신용도와 소득 심사후 안내 가능합니다.
8001	부부합산 연소득 4천만원 이하인 기초생활수급자에 해당되시면 금리 1%를 우대받으실 수 있습니다.
8002	신분증,계약서,소득증명서류,주민등록증이 필요합니다
8004	네, 주택도시기금 수탁은행에 방문하시면 됩니다.
8006	우리, 국민, OO은행, 기업, OO은행은행입니다.
8008	주택도시기금 홈페이지에서 온라인 신청도 됩니다.
8014	신용등급 검토해야 확실히 알 수 있지만, 햇살론 받으실 수 있습니다.
8016	대출한도는 최대 1500만원입니다.
8018	직장인 햇살론은 서민자금지원 프로그램으로 5년이내 대출이 가능한 프로그램입니다.
8020	금리는 11.5%내외입니다.
8023	고객님의 신용등급이 높으시면 금리는 낮아집니다. 신용등급 조회후 정확한 상담이 가능합니다.
8025	그럼 지금 보내드리는 개인정보동의 문자에 확인해 주시면 추가로 진행하겠습니다.
8027	네, 심사후 결과를 문자로 전송해 드리겠습니다.
8030	네, 고객님의 신용등급과 직전년도 사업소득에 따라 신청이 가능합니다.
8033	연소득 3,500만원 이하, 또는 연소득 4,500만원 이하이면서 신용등급 6~10등급이면 자영업자 햇살론을 받으실 수 있습니다.
8035	대출한도는 운영자금의 경우 2000만원, 창업자금의 경우 5000만원까지 대출됩니다.
8037	최장 5년이며 1년 거치됩니다.
8039	네, 1년간은 이자만 내시면 되고, 그다음년도부터는 원금과 이자를 함께 상환하시는 것입니다.
8042	사업자등록증과 소득금액증명원이 필요합니다.
8044	현재 기준으로 10.5%내외에서 이루어지고 있습니다.
8046	창업자금으로 받으시려면 창업교육 12시간 이상을 이수하셔야 합니다.
8048	서민금융진흥원 상담전화 1397로 추가상담해 드릴 수 있습니다.
8054	네 고객님. 이런경우에는 신용대출보다 정기예금 담보대출을 추천드립니다.
8056	정기예금 담보대출이 이자율이 더 낮습니다.
8062	네 가능합니다.
8064	정기예금금리에 플러스 1%입니다.
8066	예금만기시까지 가능합니다.
8068	네, 고객님이 지정하시는 입출금계좌로 바로 입금됩니다.
8076	대출 시작 1년이시면 중도상환수수료가 붙습니다.
8078	대출금액에 따라 차등적용되는데 1%에서 1.5% 사이입니다.
8080	네, 담보설정은 이미 종료된 것이라 돌려받으실 수 없습니다.
8082	네, 담보설정비는 이미 발생한 부분이고, 중도상환수수료는 고객님께서 대출기간 도래 전에 상환하시면 부과되는 부분입니다.
8086	지금 보내드리는 문자의 개인정보 인증 순서에 따라 동의해 주시기 바랍니다.
8088	네, 그럼 검토후 바로 안내해 드리겠습니다. 감사합니다.
8091	네, 인터넷으로 확인 가능합니다.
8094	네, 해당아파트는 아파트 구입 자금 대출이 가능합니다.
8096	조정지역이 아니므로, 주택담보인정비율인 LTV는 시세의 70%까지입니다.
8098	현재 기준으로 2.4% 고정금리로 받으시는 것이 가장 저렴합니다.
8100	그런 경우에는 신용대출을 실행하셔야 합니다.
8102	신용대출도 받으실 경우에는 신용대출부터 실행하시는 것이 좋습니다.
8104	신용대출은 기존부채가 적은 상태에서 신청하셔야 더 유리하기 때문입니다.
8107	꼭 그런것은 아닙니다. 신용대출은 금리나 조건이 더 우대한 곳에서 받으셔도 됩니다.
8111	네, 고객님. 궁금한 부분 상담해 드리겠습니다.
8117	고객님 성함과 주민번호 앞 7자리를 알려주시면 대출진행상태를 검토해 보겠습니다.
8119	고객님, 서류불충분으로 되어 있습니다. 해당 안내를 위해 전화를 드렸는데 못 받으신 것 같습니다.
8122	고객님, 제가 담당자에게 전화드리도록 안내하겠습니다. 
8125	네 그렇게 전달하겠습니다.
8127	네, 오늘중에 연락드리라고 하겠습니다.
8132	없으시면 고객님 핸드폰 번호로 대신쓰셔도 됩니다.
8134	없으시면 기타를 선택하시고 메모란에 남겨주시면 됩니다.
8136	대출심사는 재직증명서, 소득금액증명원 등의 서류로 정확하게 심사하기 때문에 괜찮습니다.
8138	서류 등록란에 파일을 첨부하시면 됩니다.
8140	그런 경우에는 부득이하게 영업점에 오셔서 신청을 마무리 하셔야 합니다.
8142	그런 경우에는 소유자만 확인되면 심사팀에서 등기부등본을 조회하여 평가하니 방문하지 않으셔도 됩니다.
8145	인터넷 화면에 신청이 완료되면 접수완료라고 뜨고 접수확인도 하실 수 있습니다.
8147	담당직원이 고객님에게 연락할때까지 기다리시면 됩니다.
8150	안녕하세요. 고객님 아파트 구입자금 대출에 대해 안내해 드리겠습니다.
8152	지역에 따라 아파트 시세를 기준으로 결정됩니다.
8156	네, OO은행부동산 시세와 한국감정원 감정가 중에서 높은 것으로 진행하실 수 있습니다.
8160	그런 경우에는 아파트 구입가를 기준으로 대출한도를 산정할 수 있습니다.
8163	전화 상담도 가능합니다. 
8166	네, 그럼 상담예약하고 문자발송해 드리겠습니다.
8168	네, 도움이 되셨다니 다행입니다.
8175	그런 경우에는 별도의 증빙자료는 필요하지 않습니다.
8177	최소 6개월 이상 만기 연장 및 이자상환 유예가 가능합니다.
8179	영업점을 방문하여 신청하시면 됩니다.
8181	전화 상담후 팩스나 온라인으로 신청서를 접수하실 수도 있습니다.
8184	대출연장 신청은 OOOO번으로 전화하시면 됩니다.
8188	네 안내해 드리겠습니다.
8194	네, 그러면 연금저축 담보대출이 가능합니다.
8196	당사 홈페이지에 접속하시면 가능합니다.
8199	당사 홈페이지에 접속하셔서 고객님의 연금저축 조회를 누르시면 옆에 대출가능한도를 조회하실 수 있습니다.
8202	연금저축 담보대출은 즉시 처리됩니다.
8204	네 그렇습니다.
8206	상환은 매월 이자 상환하시면 됩니다.
8208	네, 연금저축 혜택 개시일 전까지 아무때나 갚으시면 됩니다.
8214	고객님 신용등급에 영향을 줄수가 있습니다.
8218	신용등급이 일시 하락할 수 있지만, 다음부터 제때 내시면 괜찮아 지실 거에요.
8220	한달 이상 대출이자 연체 시에는 전액 상환 독촉을 받을 수 있고, 법정최고이율까지 이자가 상승하기 때문에 장시간 연체는 주의하셔야 합니다.
8222	3개월 이상 대출이자 연체를 하게 된다면 소송을 통해 압류가 될 수 있습니다.
8225	인터넷뱅킹에서 처리하시면 됩니다. 대출메뉴에서 이자납부를 하시면 됩니다.
8227	네, 스마트폰 뱅킹앱이 있으시면 인터넷뱅킹과 동일하게 대출 메뉴에서 이자납부를 하시면 됩니다.
8232	마이너스 대출은 전화로 1년씩 연장 가능합니다.
8233	고객님 성함과 주민번호 앞 7자리를 알려주시면 가능한지 확인해 보겠습니다.
8235	네 잠시만 기다려 주십시요.
8236	고객님은 영업점에 방문해 주셔야 합니다.
8239	고객님 마이너스 통장 최대 연장기한인 10년이 종료되어서 더 이상 전화로 연장이 불가능합니다.
8241	재직증명서, 소득증명원, 신분증을 가지고 영업점에 가셔서 다시 신청하셔야 합니다.
8243	네, 그렇습니다.
8246	인터넷뱅킹으로도 가능합니다. 재직증명서, 소득증명원, 신분증사본을 온라인으로 접수하시면 됩니다.
8248	네 그렇습니다.
8250	네, 고객님. 비상금대출은 스마트폰 앱으로 간단하게 진행하실 수 있습니다.
8252	앱을 까시면 입출금 계좌 바로 옆에 비상금대출 메뉴가 있습니다.
8256	아닙니다. 매월 200만원 한도안에서 고객님이 쓰신 만큼에 대한 이자만 납부하시면 됩니다.
8258	네, 그렇습니다.
8260	네, 이자는 변동금리가 적용됩니다.
8262	아닙니다. 고객님의 신용등급에 따라 조금씩 차이가 있을 수 있습니다.
8264	이자는 비상금 대출을 사용하는 계좌에서 매월 말에 자동정산됩니다.
8266	네, 200만원 한도내에서 설정됩니다.
8268	승인되면 뱅킹앱에서 알림톡이 발송됩니다.
8270	신용대출상품에 따라 다릅니다.
8272	500만원 이하의 소액대출의 경우 인터넷으로 간단하게 신용조회로만 가능합니다.
8274	네, 500만원 이상인 경우에는 심사서류가 필요합니다.
8276	소득증빙서류와 신분증입니다.
8281	직장인 마이너스 통장 개설이 가장 간편합니다.
8283	500만원까지는 재직증명서만 내시면 바로 개설 됩니다.
8285	네 가능합니다.
8287	인터넷으로 일단 개설하시고, 추가로 금액을 상향하고 싶으시면 소득증빙자료를 가지고 영업점에 방문해 주시면 됩니다.
8290	네, 고객님 대출 우대금리조건에 대해 안내해 드리겠습니다.
8296	당행 통장 개설후 자동납부를 등록해 두시면 금리가 낮아질 수 있습니다.
8298	신규 고객이시기 때문에, 당행에서 신용카드를 발급받으시는 것도 방법입니다.
8300	추가로, 기타 통신비, 보험료, 국민연금 등의 공과금을 자동이체 등록해 두시면 고객등급이 올라가서 우대금리가 적용될 수 있습니다.
8303	우선 신규개설하고 3개월은 지나야 고객등급이 올라가서 우대금리를 적용 받으실 수 있습니다.
8306	우대금리는 최대 0.2%입니다.
8308	네 감사합니다.
8317	변동금리가 아니시라면, 원하시는 날짜에 미리 납부하셔도 됩니다.
8321	그러면 접속후에 대출이자 조회와 납부 메뉴에서 처리하실 수 있습니다.
8324	네 대출이자조회에서 확인하실 수 있습니다.
8326	네, 가능합니다. 단, 조건에 따라 조기상환수수료가 부과될 수 있습니다.
8328	대출금액과 개시이후 경과기간에 따라 다릅니다.
8330	네  카드론을 이용하실 수 있습니다.
8332	네, 장단기론을 바로 받으실 수 있습니다.
8336	고객님의 신용카드 실적에 따라 문자가 발송되고 있습니다.
8339	고객님은 카드장기론 이용 가능 고객이십니다.
8341	장기카드론 이용시 연 8%로 이용가능하십니다.
8343	콜센터에 전화하시면 상담자가 바로 진행 도와드립니다.
8345	네, 안됩니다. 몇가지 고객동의를 받고 녹음해야 해서 전화로만 가능합니다.
8348	네, 오늘 중에 연락드리라고 하겠습니다.
8353	0번을 누르시면 바로 상담원 연결 가능하십니다.
8355	평일 9시부터 18시 되겠습니다.
8357	주말에는 상담사가 있지 않습니다.
8359	ARS 서비스를 이용하시려면 ARS비밀번호와 보안카드 지참하셔야 합니다.
8361	가까운 OO보험 고객플라자를 방문신청하시면 됩니다.
8363	네. 가능합니다.
8367	평일 9시부터 15시 50분입니다.
8371	 네무배당 암보험 가입되어 있으시구요.대출 가능 하신금액1200만 원 입니다
8375	네10%이구요 매월83,300원입니다
8377	 네 입금되었습니다
8379	 네 만기시 대출금을 제외하고 돌려 드립니다
8381	 아니요 필요하신만큼씩 값으시면 됩니다
8383	대출금을 제외하고 나머지를 돌려 드립니다
8385	 다시전화주시면 됩니다
8389	전화, 인터넷, 방문 모두 가능합니다.
8391	희망이체일 기준 4일전 신청해야 합니다.
8393	신청당월에는 자동이체가 진행되지 않습니다.
8395	네. 그렇습니다.
8397	신청하시려면 가족관계증명서가 필요합니다.
8399	발급일 기준 3개월까지 가능합니다.
8401	네. 그렇습니다.
8404	네, 맞습니다.
8409	네. 보험약관대출이란 보험사 고객이 보험을 해지한 뒤 돌려받을 수 있는 해지환급금의 50~95%를 빌릴 수 있는 제도입니다.
8411	네. 보험 계약대출 약관대출 같은 말입니다.
8413	네. 보험사들은 약관대출이 나간 날로부터 7일 이내에 대출 일자와 금액 등을 신용정보원에 등록해야 한다는 조항입니다.
8415	네. 고객이 대출금을 상환하지 못하더라도 보험회사는 해약환급금에서 공제하면 되기 때문에 부실위험이 크지는 않습니다.
8417	네. 총부채원리금상환비율을 말합니다.
8419	네. 대신 다른 대출의 DSR을 산정할 땐 보험약관대출의 이자상환액이 포함됩니다.
8421	네. 대출 한도가 줄어들게 되는 것입니다.
8423	아닙니다. ‘약관대출’이라고 불렸으나, 이후 ‘보험계약대출’로 용어가 변경 되었습니다.
8425	네. 보험상품의 적용이율에 업무원가와 목표 이익률 등을 감안한 가산금리를 더해서 금리 결정되는 구조입니다.
8427	네. 은행의 ‘예·적금담보대출’, 우체국보험의 ‘환급금대출’ 새마을금고, 신협 등의 ‘공제계약대출’ 등이 있습니다.
8429	네. 보험사가 보험 가입기간 동안 계약자에게 받은 보험료에 확정된 이율을 적용하는 상품입니다.
8431	네. 시중금리가 변경되더라도 적용이율이 변동되지않는 상품입니다.
8433	네. 시중 실세금리인 국고채, 회사채, 정기예금 이율 등의 변경에 따라서 적용이율이 변동되는 상품입니다.
8435	네. 금리연동형 상품입니다.
8437	네. 금리확정형 상품입니다.
8439	네. 소비자가 보험계약대출을 이용함에 있어 실질적인 이자 부담은 가산금리 수준입니다.
8441	네. 보험계약대출은 보험계약이 정상적으로 유지되는 기간 중에는 해약 환급금의 일정범위 내에서 수시 인출 및 상환이 가능합니다.
8443	네. 매월 일할 계산하여 자동이체 등을 통해 납부해야 합니다.
8445	네. 연체이자율이 적용되지는 않지만 미납된 이자가 대출원금에 가산되어 대출원금이 증가함에 따라 가산이자가 발생합니다.
8447	네. 보험계약대출은 중도상환수수료가 없기 때문에 대출원금을 상환하더라도 별도의 비용은 발생하지 않습니다.
8449	네. 보험계약대출은 보험사 고객창구에 직접 방문하지 않더라도 인터넷, 모바일, 전화(ARS), ATM 등을 통해 신청할 수 있습니다.
8453	네. 홈페이지 회원가입 후 대출신청 (공인인증서, 보안카드 또는 OTP로 금융거래 본인인증 후 신청가능) 합니다.
